,drummer,session,opus,tempo,genre,ts,length,fail
371,8,2,3,114,afrobeat,4/4,101.0,
372,8,2,4,114,afrobeat,4/4,89.0,1.0
373,8,2,5,91,funk,4/4,65.0,
374,8,2,6,91,funk,4/4,56.0,
375,8,2,7,95,latin,4/4,89.0,1.0
376,8,2,8,95,latin,4/4,68.0,2.0
377,8,2,9,86,hiphop,4/4,76.0,
378,8,2,10,86,hiphop,4/4,53.0,4.0
379,8,2,11,81,funk,4/4,80.0,1.0
380,8,2,12,81,funk,4/4,65.0,2.0
381,8,2,13,103,afrobeat,4/4,92.0,
382,8,2,14,103,afrobeat,4/4,45.0,
383,8,2,15,95,funk,4/4,73.0,
384,8,2,16,95,funk,4/4,57.0,1.0
385,8,2,17,85,afrobeat,4/4,80.0,
386,8,2,18,85,afrobeat,4/4,48.0,1.0
387,8,2,19,90,neworleans,4/4,58.0,57.0
388,8,2,20,90,neworleans,4/4,56.0,10.0
389,8,2,21,110,afrobeat,4/4,109.0,
390,8,2,22,96,rock,4/4,80.0,
391,8,2,23,96,rock,4/4,61.0,5.0
392,8,2,24,84,latin,4/4,60.0,1.0
393,8,2,25,84,latin,4/4,40.0,
394,8,2,26,137,dance,4/4,125.0,
395,8,2,27,137,dance,4/4,65.0,
396,8,2,28,106,latin,4/4,82.0,1.0
397,8,2,29,106,latin,4/4,52.0,2.0
398,8,2,30,98,afrobeat,4/4,77.0,
399,8,2,31,98,afrobeat,4/4,44.0,
400,8,2,32,117,rock,4/4,109.0,1.0
401,8,2,33,117,rock,4/4,48.0,
402,8,2,36,118,latin,4/4,77.0,1.0
403,8,2,37,112,rock,4/4,85.0,1.0
404,8,2,38,112,rock,4/4,57.0,1.0
405,8,2,39,104,rock,4/4,76.0,
406,8,2,40,104,rock,4/4,45.0,
407,8,2,41,126,highlife,4/4,96.0,15.0
408,8,2,42,126,highlife,4/4,49.0,1.0
409,9,1,1,100,rock,4/4,20.0,1.0
410,9,1,2,100,rock,4/4,18.0,1.0
411,9,1,3,100,rock,4/4,22.0,
412,9,1,4,100,rock,4/4,5.0,
413,9,1,5,100,rock,4/4,30.0,
414,9,1,6,100,rock,4/4,2.0,
415,9,1,7,100,rock,4/4,10.0,
416,9,1,8,100,rock,4/4,5.0,
417,9,1,9,100,rock,4/4,4.0,
418,9,1,10,100,rock,4/4,3.0,
419,9,1,11,100,rock,4/4,4.0,
420,9,1,12,100,rock,4/4,5.0,
421,9,1,13,120,rock,4/4,23.0,
422,9,1,14,120,rock,4/4,59.0,1.0
423,9,1,15,120,rock,4/4,6.0,
424,9,1,16,120,rock,4/4,3.0,
425,9,1,17,120,rock,4/4,3.0,
426,9,1,18,120,rock,4/4,12.0,1.0
427,9,1,19,120,rock,4/4,19.0,2.0
428,9,1,20,120,rock,4/4,77.0,1.0
429,9,1,21,120,rock,4/4,4.0,
430,9,1,22,120,rock,4/4,17.0,
431,9,1,23,120,rock,4/4,31.0,4.0
432,9,1,24,90,rock,4/4,26.0,
433,9,1,25,90,rock,4/4,14.0,
434,9,1,26,90,rock,4/4,14.0,
435,9,1,27,90,rock,4/4,3.0,1.0
436,9,1,28,90,rock,4/4,13.0,
437,9,1,29,90,rock,4/4,4.0,
438,9,1,30,90,rock,4/4,7.0,
Total,0,0,0,0,,,18191.0,578.0
